Frame,Timestamp_ms,LeftHeel_Y,RightHeel_Y
0,0,0.6167958974838257,0.6751319169998169
1,33,0.6079333424568176,0.6727020144462585
2,66,0.6080189347267151,0.6727640628814697
3,99,0.6192493438720703,0.6762935519218445
4,132,0.6189637184143066,0.6732944846153259
5,165,0.6253781318664551,0.6734206676483154
6,198,0.6240383982658386,0.6722411513328552
7,231,0.6193709969520569,0.6703776121139526
8,264,0.6192267537117004,0.6689920425415039
9,297,0.6191788911819458,0.6670535206794739
10,330,0.6196736097335815,0.6656451225280762
11,363,0.6174882650375366,0.655552327632904
12,396,0.6152940988540649,0.6432638168334961
13,429,0.6116983294487,0.6375442743301392
14,462,0.6067080497741699,0.6082683205604553
15,495,0.6057698130607605,0.6088550686836243
16,528,0.6065414547920227,0.5858418941497803
17,561,0.6074762344360352,0.5777795910835266
18,594,0.6090968251228333,0.568824827671051
19,627,0.6091365218162537,0.5558998584747314
20,660,0.6092796325683594,0.5530722141265869
21,693,0.6090088486671448,0.5464302897453308
22,726,0.6084723472595215,0.5472913384437561
23,759,0.6078238487243652,0.5460034608840942
24,792,0.6067461967468262,0.5412289500236511
25,825,0.6053738594055176,0.542474627494812
26,858,0.6048200726509094,0.5404375195503235
27,891,0.6039751768112183,0.5374579429626465
28,924,0.6031706929206848,0.5393747687339783
29,957,0.6017784476280212,0.5412023067474365
30,990,0.6000261306762695,0.5460565090179443
31,1023,0.5976086854934692,0.5484218001365662
32,1056,0.5826773047447205,0.5532130599021912
33,1089,0.5704161524772644,0.5605259537696838
34,1122,0.5511190295219421,0.5632348656654358
35,1155,0.5389047265052795,0.554100751876831
36,1188,0.5217390656471252,0.5402941703796387
37,1221,0.508277952671051,0.5389787554740906
38,1254,0.5061092972755432,0.5414963364601135
39,1287,0.5020358562469482,0.5418171286582947
40,1320,0.4965706169605255,0.5422057509422302
41,1353,0.49190863966941833,0.5401051640510559
42,1386,0.48578619956970215,0.5397171974182129
43,1419,0.47536101937294006,0.5390572547912598
44,1452,0.4804953932762146,0.5395334959030151
45,1485,0.48550060391426086,0.5398598909378052
46,1518,0.49029281735420227,0.5381526350975037
47,1551,0.492840439081192,0.5356057286262512
48,1584,0.49001020193099976,0.5348297357559204
49,1617,0.4907221794128418,0.5325425863265991
50,1650,0.493993878364563,0.5325814485549927
51,1683,0.4938720166683197,0.5260999798774719
52,1716,0.4939160645008087,0.5251032114028931
53,1749,0.49512526392936707,0.5138430595397949
54,1782,0.49410268664360046,0.5046200156211853
55,1815,0.4880308210849762,0.49647757411003113
