Frame,Timestamp_ms,LeftHeel_Y,RightHeel_Y
0,0,0.6201719045639038,0.6847381591796875
1,33,0.619655966758728,0.6823488473892212
2,66,0.6168478727340698,0.6830127835273743
3,99,0.6206597685813904,0.6832498908042908
4,132,0.6236203908920288,0.683291494846344
5,165,0.6240100264549255,0.6830111145973206
6,198,0.6237901449203491,0.6829574108123779
7,231,0.6216058135032654,0.6816814541816711
8,264,0.6211549639701843,0.6780475974082947
9,297,0.6207265853881836,0.675902783870697
10,330,0.6204503178596497,0.6694715619087219
11,363,0.6176793575286865,0.6597242951393127
12,396,0.614457905292511,0.6426054835319519
13,429,0.612781822681427,0.6321033239364624
14,462,0.6083752512931824,0.6136218905448914
15,495,0.6036978363990784,0.6010680794715881
16,528,0.6053774356842041,0.5963588356971741
17,561,0.6055628061294556,0.579833984375
18,594,0.6058422923088074,0.5720049142837524
19,627,0.6064471006393433,0.5723838806152344
20,660,0.6070085763931274,0.5630318522453308
21,693,0.6075049638748169,0.55660480260849
22,726,0.6079014539718628,0.5551981925964355
23,759,0.6081100702285767,0.5602652430534363
24,792,0.6080092787742615,0.5586951971054077
25,825,0.6075787544250488,0.5647739768028259
